gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OVGP1	96.5882541366138	-1.23617834468499	0.224852549499725	-5.49772883356386	3.84713910097116e-08	2.67779013136012e-07
LOC107984684	35.1335931640004	1.94953158600225	0.354767875957305	5.49523144039363	3.90198335867796e-08	2.71390130070146e-07
ANO1	76.9747102098278	-1.36810681881421	0.249014923515326	-5.49407561402643	3.92762192928008e-08	2.73069629426371e-07
MIR181A2HG	47.5831353710783	1.76221531440025	0.320915798331853	5.49120773598681	3.99194481569574e-08	2.77331128261897e-07
LOC105376292	54.5222492505386	1.56314112033239	0.284667061756519	5.49112043622868	3.99391877298394e-08	2.77363043191714e-07
NGF	17.3752011892804	3.61271120426574	0.65823448229576	5.48848670410808	4.05391778470936e-08	2.81209834815842e-07
PLXNC1	122.152339583077	-1.07826166212769	0.196525006711193	-5.48663846994427	4.09654328356989e-08	2.83951541075002e-07
PYCARD-AS1	125.214981929031	-1.05745567681165	0.1928636954523	-5.48291721949911	4.18368815491583e-08	2.89772621713213e-07
PLEKHG1	64.4114096974991	1.39691638695494	0.254932655637361	5.47955060312886	4.26407485234641e-08	2.94894270283307e-07
INSYN1	61.9356230169277	1.57053123181445	0.286716892939819	5.47763759474088	4.31041803700248e-08	2.97986732773222e-07
DRD1	95.4666002983664	-1.17719173590839	0.214927259551906	-5.47716347550645	4.32197900865113e-08	2.98673213529918e-07
RASGRF2-AS1	18.7269312422656	3.08848866429307	0.564987907385788	5.46646861626398	4.59089662532939e-08	3.16064247743072e-07
LOC105371123	35.1550626318807	-2.11519565708924	0.387196720942981	-5.4628449640221	4.68563798881463e-08	3.223444345949e-07
MIR3605	93.3784594066462	1.13410278068693	0.207736232455104	5.45934027629019	4.77907049008814e-08	3.28155672609614e-07
LOC105374291	31.3215343335304	2.10390379651394	0.385752046945067	5.45403145148713	4.92404868729127e-08	3.3722551836337e-07
ARHGAP44-AS1	21.407174577369	2.83709266299119	0.520303532151727	5.45276456467311	4.95927097160909e-08	3.39510763749821e-07
LINC01133	40.496846608762	-1.91963267438172	0.352323998829163	-5.44848684949367	5.08001465887356e-08	3.47128016596834e-07
LOC107984455	28.7349709566064	2.21679428172826	0.40715434337551	5.44460428286223	5.19206794545476e-08	3.54256111345428e-07
IL1A	29.9699504576086	2.28837910382632	0.420505200530335	5.44197574950382	5.26928501690091e-08	3.58989644771229e-07
BRINP1	16.5353166773205	3.53507110892273	0.649772553791429	5.44047465270047	5.31388004056287e-08	3.61893213770279e-07
PLAAT2	28.898820597514	-2.28684642225534	0.42098499259416	-5.43213288474612	5.56844295735274e-08	3.7894795941286e-07
KIF25-AS1	18.5823182204228	-3.32248693893992	0.613589917268305	-5.41483301050903	6.13459308289171e-08	4.15776473452982e-07
TRIM31	38.4766181004899	-1.94172888817104	0.359579504359509	-5.39999878922379	6.6641346742234e-08	4.5083228034375e-07
LOC107984104	15.5333952573872	4.50162785352829	0.835577714562317	5.38744365135	7.1466870980157e-08	4.81697757916679e-07
CGB7	38.8979617446804	1.97532839382608	0.367025015793348	5.38199934289569	7.3663033924911e-08	4.95588221993716e-07
TRIM46	79.8710684147383	-1.21520759166621	0.226834365109741	-5.35724642550656	8.44998370387266e-08	5.62912155580284e-07
CARMIL3	45.7991940743936	-1.74994909494621	0.327056629951871	-5.35059966588579	8.76632566594644e-08	5.8377353425628e-07
EPHA5	87.8185225097191	-1.15406056859021	0.215732396217897	-5.34950053317245	8.81973012121305e-08	5.86903044003541e-07
KLRG2	59.8725885341113	-1.5109257046667	0.282759759656759	-5.34349621212299	9.11707354761937e-08	6.05369716742399e-07
FGF1	15.2233686280464	4.13271040614607	0.77398963922863	5.33949060385975	9.32081001420363e-08	6.18225258203952e-07
LOC107986174	10.6481041405118	6.8771816087725	1.28827599121293	5.3382828335546	9.38310066219754e-08	6.21681340183877e-07
KCNJ12	88.8442027066859	1.17579985959565	0.220497138521834	5.33249486808749	9.68725080728124e-08	6.41137058307703e-07
HPCAL4	24.0767701567032	2.42629839479686	0.455329075578018	5.32867002116391	9.89345562785004e-08	6.53603365486356e-07
NRXN3	38.1335268926806	1.75831408697173	0.330107349102836	5.32649179653367	1.00127800225083e-07	6.61009518933653e-07
SSTR5	86.6912920178626	-1.24255110715861	0.233280691412478	-5.32642071504142	1.0016697284713e-07	6.61029828378194e-07
LOC107986198	31.0965230512396	1.99462236140033	0.374506812029888	5.3259975448488	1.0040048684102e-07	6.6233217417853e-07
ADGRA1	17.8729929001869	3.15225349307627	0.593816374582749	5.308465087867	1.1055225500564e-07	7.26945582017338e-07
NHERF4	41.8134366133276	-1.87298173127297	0.353070156447821	-5.3048429527908	1.12770040691224e-07	7.40996682877066e-07
TRPS1	22.9059268956904	2.58031502228356	0.488593775731085	5.28110498014966	1.2840708418496e-07	8.38331170295602e-07
IGLON5	57.5540909147313	1.64541936667897	0.311901436499564	5.27544658064206	1.32433185575856e-07	8.63385164631771e-07
LOC440570	50.4360960923256	-1.57248288733395	0.298128307928206	-5.27451719785238	1.33106036572639e-07	8.67462935144037e-07
LRRC38	29.067824243487	2.18077141967411	0.414048297953951	5.26694936424216	1.38709446329036e-07	9.02375165408039e-07
NALT1	77.681337356969	-1.32219682266217	0.251153719871821	-5.26449229315403	1.4057729631973e-07	9.1355288413883e-07
NPY2R	46.4537467921747	-1.60375080946961	0.306142979571214	-5.23856797799457	1.61827368706261e-07	1.04534201168175e-06
